price,home_type,bedrooms,bathrooms,square_feet,built,county,zipcode,high_school
72000,Manufactured - Double Wide Manufact,2,2.0,1152,1988,Multnomah,97230,Reynolds
79950,Manufactured - Double Wide Manufact,3,2.0,1404,1990,Multnomah,97236,Centennial
93900,Manufactured - Double Wide Manufact,3,2.0,1297,1997,Multnomah,97236,David Douglas
129500,Floating Home - Cabin,1,1.0,735,1960,Multnomah,97230,Reynolds
141900,Condo - Traditional,1,1.0,720,1974,Multnomah,97236,David Douglas
144900,Condo - Common Wall,1,1.0,382,1927,Multnomah,97209,Lincoln
149900,Condo - Other,1,1.0,513,2004,Multnomah,97220,David Douglas
157900,Single Family - Bungalow,2,1.0,879,1905,Multnomah,97203,Jefferson
159000,Condo - Traditional,2,2.0,1003,1969,Multnomah,97233,David Douglas
160000,Condo - Common Wall,2,1.0,812,1979,Washington,97229,Sunset
160000,Condo - Common Wall,2,2.0,1073,1979,Multnomah,97230,Reynolds
165000,Condo - Common Wall,2,1.0,861,1973,Multnomah,97236,Centennial
165000,Condo - Traditional,1,1.0,580,1951,Multnomah,97201,Lincoln
165000,Condo - Common Wall,2,2.0,1003,1969,Multnomah,97233,David Douglas
168000,Condo - 1 Story,2,1.0,861,1973,Multnomah,97236,Centennial
169900,Condo - Contemporary,1,1.0,576,1972,Multnomah,97217,Jefferson
173000,Condo - Common Wall,1,1.0,573,1978,Washington,97225,Beaverton
175000,Condo - FourSquare,1,1.0,437,1910,Multnomah,97210,Lincoln
185000,Condo - Studio,1,1.0,481,2000,Multnomah,97201,Lincoln
185000,Condo - Tri Level,1,1.0,624,1977,Washington,97225,Beaverton
185000,Floating Home - Bungalow,2,2.0,1300,1979,Multnomah,97211,Roosevelt
188900,Condo - 1 Story,2,1.0,704,1963,Multnomah,97203,Roosevelt
189500,Condo - Common Wall,2,1.0,1064,1979,Multnomah,97219,Wilson
189900,Condo - Common Wall,2,1.0,1080,1973,Multnomah,97221,Wilson
195000,Condo - Common Wall,1,1.0,541,1960,Multnomah,97239,Lincoln
195000,Condo - Common Wall,2,1.0,759,2004,Multnomah,97220,David Douglas
197500,Condo - Contemporary,1,1.0,600,1965,Multnomah,97201,Lincoln
199000,Condo - 1 Story,1,1.0,572,1977,Washington,97225,Beaverton
199000,Condo - Common Wall,2,1.0,812,1979,Washington,97229,Sunset
199500,Condo - Contemporary,1,1.0,600,1965,Multnomah,97201,Lincoln
199900,Condo - Common Wall,1,1.0,382,1915,Multnomah,97209,Lincoln
199900,Condo - FourSquare,1,1.0,607,1908,Multnomah,97205,Lincoln
199999,Floating Home - Manufactured Home,2,2.0,1368,1974,Multnomah,97217,Jefferson
200000,Condo - Other,1,1.0,491,1915,Multnomah,97209,Lincoln
204900,Condo - Common Wall,3,1.0,1044,1966,Multnomah,97220,Madison
205000,Condo - Common Wall,1,1.0,652,1974,Multnomah,97219,Wilson
207000,Condo - Contemporary,1,1.0,677,1972,Multnomah,97219,Wilson
207500,Condo - Common Wall,1,2.0,788,1979,Washington,97229,Westview
209000,Condo - 1 Story,1,1.0,572,1977,Washington,97225,Beaverton
209800,Condo - Common Wall,1,1.0,735,1983,Multnomah,97209,Lincoln
209900,Condo - 1 Story,2,1.0,814,1992,Washington,97229,Sunset
209900,Condo - Contemporary,1,1.0,664,1997,Multnomah,97219,Wilson
210000,Condo - Contemporary,1,1.0,607,1951,Multnomah,97201,Lincoln
211000,Condo - 2 Story,2,3.0,1020,2006,Multnomah,97233,Reynolds
215000,Condo - 1 Story,2,1.0,742,1979,Washington,97229,Westview
219900,Condo - Common Wall,2,1.0,710,1970,Multnomah,97203,Roosevelt
219900,Condo - Traditional,1,1.0,570,1903,Multnomah,97201,Lincoln
219900,Condo - Common Wall,2,1.0,800,1977,Washington,97225,Sunset
220000,Condo - Traditional,2,2.0,788,1979,Washington,97229,Westview
220000,Condo - 1 Story,1,1.0,477,1915,Multnomah,97209,Lincoln
220000,Condo - Common Wall,2,1.0,748,1969,Multnomah,97203,Roosevelt
222000,Condo - Common Wall,2,1.0,871,1908,Multnomah,97205,Lincoln
224000,Condo - Contemporary,1,1.0,731,2001,Multnomah,97209,Lincoln
224500,Condo - 2 Story,3,2.0,1220,1988,Multnomah,97233,David Douglas
224500,Floating Home - 2 Story,3,2.0,1150,1945,Multnomah,97230,Reynolds
224900,Condo - Contemporary,1,1.0,727,1965,Multnomah,97201,Lincoln
225000,Floating Home - 1 Story,1,1.0,1034,1972,Multnomah,97211,Roosevelt
225000,Manufactured - Manufactured Home,3,2.0,1400,1999,Multnomah,97203,Roosevelt
228000,Floating Home - Bungalow,2,2.0,1171,1978,Multnomah,97211,Jefferson
229000,Condo - Contemporary,1,1.0,742,2001,Multnomah,97209,Lincoln
229000,Floating Home - 1 Story,2,1.0,987,1940,Multnomah,97217,Jefferson
229800,Single Family - Ranch,3,1.0,1032,1959,Multnomah,97233,Centennial
229900,Condo - Mediterranean/Missio,1,1.0,698,1927,Multnomah,97214,Franklin
229900,Condo - Detached Condo,2,2.0,1638,1973,Multnomah,97230,Reynolds
229900,Condo - Craftsman,1,1.0,800,1929,Multnomah,97232,Cleveland
230000,Condo - Common Wall,2,2.0,1128,1967,Washington,97224,Tualatin
234950,Condo - Common Wall,2,1.0,812,1977,Washington,97225,Sunset
235000,Condo - Common Wall,1,1.0,616,1950,Multnomah,97206,Franklin
235000,Condo - Other,1,1.0,441,1924,Multnomah,97205,Lincoln
235000,Condo - 2 Story,3,2.0,1219,1988,Multnomah,97233,David Douglas
235000,Condo - 1 Story,1,1.0,728,1980,Multnomah,97239,Wilson
