price,home_type,bedrooms,bathrooms,square_feet,built,lot_size,county,zipcode,high_school
157900,Single Family - Bungalow,2,1.0,879,1905,0.07,Multnomah,97203,Jefferson
225000,Manufactured - Manufactured Home,3,2.0,1400,1999,0.1,Multnomah,97203,Roosevelt
229800,Single Family - Ranch,3,1.0,1032,1959,0.16,Multnomah,97233,Centennial
235000,Condo - 2 Story,3,2.0,1219,1988,0.06,Multnomah,97233,David Douglas
239900,Single Family - Bungalow,1,1.0,456,1957,0.15,Multnomah,97230,Reynolds
240000,Single Family - Ranch,2,1.0,900,1947,0.22,Multnomah,97230,Reynolds
240000,Single Family - Townhouse,3,3.0,1339,2003,0.06,Multnomah,97266,Madison
244900,Single Family - Traditional,3,2.0,1456,1981,0.17,Multnomah,97206,Cleveland
249500,Single Family - Bungalow,2,1.0,784,1925,0.11,Multnomah,97221,Wilson
249900,Condo - Traditional,3,3.0,1286,2003,0.04,Multnomah,97230,Reynolds
249900,Condo - Row House,3,3.0,1066,1998,0.03,Multnomah,97233,Reynolds
249900,Condo - Row House,3,2.0,1288,2000,0.02,Multnomah,97233,David Douglas
249900,Single Family - Bungalow,3,2.0,1378,1926,0.32,Multnomah,97218,Madison
249950,Single Family - 1 Story,1,1.0,904,1940,0.21,Multnomah,97266,Madison
249999,Single Family - Ranch,2,1.0,780,1960,0.37,Multnomah,97266,David Douglas
250000,Single Family - Ranch,1,1.0,1312,1962,0.22,Multnomah,97230,Parkrose
250000,Single Family - Bungalow,2,1.0,1396,1920,0.21,Multnomah,97220,Parkrose
255000,Single Family - Ranch,3,2.0,1180,1977,0.22,Multnomah,97230,Reynolds
259900,Single Family - Ranch,2,1.0,982,1955,0.53,Multnomah,97230,Reynolds
259950,Single Family - Bungalow,2,1.0,956,1950,0.18,Multnomah,97220,Madison
259999,Single Family - Bungalow,1,1.0,490,1928,0.13,Multnomah,97221,Wilson
265000,Single Family - Craftsman,4,1.0,2238,1910,0.11,Multnomah,97203,Roosevelt
269900,Single Family - 2 Story,3,1.0,1202,1953,0.19,Multnomah,97233,David Douglas
269995,Single Family - Bungalow,2,1.0,604,1924,0.11,Multnomah,97206,Cleveland
270000,Single Family - 1 Story,2,1.0,680,1908,0.1,Multnomah,97206,Franklin
270000,Single Family - Cottage,4,1.0,1556,1952,0.39,Multnomah,97230,Reynolds
274900,Single Family - Bungalow,3,1.0,907,1913,0.23,Multnomah,97266,Franklin
275000,Single Family - Bungalow,1,1.0,768,1944,0.16,Washington,97223,Tigard
275000,Single Family - 1 Story,2,1.0,681,1915,0.1,Multnomah,97206,Cleveland
275000,Single Family - 1 Story,1,1.0,604,1915,0.06,Multnomah,97203,Roosevelt
279000,Condo - Townhouse,3,3.0,1066,1999,0.03,Multnomah,97233,Reynolds
279000,Single Family - Bungalow,2,2.0,1964,1942,0.19,Multnomah,97236,Centennial
