address,price,home_type,bedrooms,bathrooms,square_feet,built,lot_size,neighborhood,county,city,zipcode,high_school,middle_school,elementary_school
"255 SW HARRISON ST 19b, Portland OR 97201",250000,Condo - Contemporary,1,1.0,744,1965,,HARRISON WEST PSU OHSU,Multnomah,Portland,97201,Lincoln,West Sylvan,Ainsworth
"1811 NW COUCH ST 410, Portland OR 97209",250000,Condo - Tudor,1,1.0,519,1916,,unknown,Multnomah,Portland,97209,Lincoln,West Sylvan,Chapman
"2211 SW PARK PL 102, Portland OR 97205",250000,Condo - Contemporary,1,1.0,849,1965,,KINGS HILL,Multnomah,Portland,97205,Lincoln,West Sylvan,Chapman
"501 NE Bridgeton RD 5, Portland OR 97211",250000,Floating Home - 1 Story,2,1.0,791,1964,,BRIDGETON,Multnomah,Portland,97211,Jefferson,Other,Faubion
"8712 N DECATUR ST 301, Portland OR 97203",252000,Condo - Contemporary,2,1.0,934,2007,,unknown,Multnomah,Portland,97203,Roosevelt,George,James John
"111 SW HARRISON ST 7G, Portland OR 97201",253000,Condo - Contemporary,1,1.0,600,1965,,unknown,Multnomah,Portland,97201,Lincoln,West Sylvan,Ainsworth
"103 N HAYDEN BAY DR, Portland OR 97217",254777,Condo - Craftsman,1,2.0,724,1983,,HAYDEN ISLAND/JANTZEN BEA,Multnomah,Portland,97217,Jefferson,Other,Faubion
"1500 SW SKYLINE BLVD 16, Portland OR 97221",254900,Condo - Common Wall,2,2.0,1156,1966,,Sylvan/Skyline,Multnomah,Portland,97221,Lincoln,West Sylvan,Ainsworth
"158 N HAYDEN BAY DR, Portland OR 97217",254900,Condo - Contemporary,1,2.0,724,1983,,unknown,Multnomah,Portland,97217,Jefferson,Faubion,Faubion
"14925 NE SACRAMENTO ST #20, Portland OR 97230",254950,Condo - Common Wall,2,2.0,1021,1984,,Summer Place,Multnomah,Portland,97230,Reynolds,H.B. Lee,Margaret Scott
"1005 SW PARK AVE 707, Portland OR 97205",255000,Condo - Common Wall,1,1.0,623,1924,,Roosevelt Condominiums,Multnomah,Portland,97205,Lincoln,West Sylvan,Chapman
"138 N HAYDEN BAY DR C, Portland OR 97217",255000,Condo - Contemporary,1,2.0,771,1983,,HAYDEN ISLAND / JANTZEN B,Multnomah,Portland,97217,Jefferson,Other,Faubion
"1434 N BRYANT ST 5, Portland OR 97217",255000,Condo - Ranch,2,1.0,946,1950,,ARBOR LODGE,Multnomah,Portland,97217,Jefferson,Ockley Green,Chief Joseph
"2436 SW 5TH AVE, Portland OR 97201",255000,Condo - 1 Story,1,1.0,658,1926,,unknown,Multnomah,Portland,97201,Lincoln,West Sylvan,Ainsworth
"642 NE 160TH AVE, Portland OR 97230",256000,Single Family - Ranch,3,2.0,1180,1977,0.22,unknown,Multnomah,Portland,97230,Reynolds,H.B. Lee,Glenfair
"6625 W BURNSIDE RD 216, Portland OR 97210",258500,Condo - Common Wall,2,2.0,1097,1996,,QUINTET,Washington,Portland,97210,Sunset,Cedar Park,W Tualatin View
"20 NW 16TH AVE 4, Portland OR 97209",259000,Condo - Common Wall,2,1.0,722,1927,,unknown,Multnomah,Portland,97209,Lincoln,West Sylvan,Chapman
"255 SW HARRISON ST 15b, Portland OR 97201",259800,Condo - Contemporary,1,1.0,735,1965,,unknown,Multnomah,Portland,97201,Lincoln,West Sylvan,Ainsworth
