zipcode_rank,zipcode,zipcodeAVGcost
1,97035,2950000.0
2,97231,1138093.1818181819
3,97221,867202.6052631579
4,97210,856264.15
5,97219,835934.5714285715
6,97239,767677.9264705882
7,97212,766676.2941176471
8,97215,744911.7857142857
9,97225,744395.7142857143
10,97202,727193.2926829269
11,97201,723531.8090909091
12,97209,721698.5100671141
13,97229,712275.2739130434
14,97223,667172.1785714285
15,97214,642413.7586206896
16,97211,613395.0581395349
17,97205,608732.1428571428
18,97227,604780.0
19,97224,599823.6
20,97213,554570.0819672131
21,97232,510019.5652173913
22,97217,485467.18548387097
23,97204,479900.0
24,97218,479091.6666666667
25,97203,461317.44444444444
26,97222,454900.0
27,97206,439434.77678571426
28,97220,430455.125
29,97230,412295.89705882355
30,97236,401751.69491525425
31,97216,380861.5
32,97266,378535.6393442623
33,97233,361969.44444444444
