Beer ID,Beer Name,EBC,IBU,ABV,Attenuation,ph
1,Buzz,20,60,4.5,75,4.4
2,Trashy Blonde,15,41.5,4.1,76,4.4
3,Berliner Weisse With Yuzu - B-Sides,8,8,4.2,83,3.2
4,Pilsen Lager,30,55,6.3,80,4.4
5,Avery Brown Dredge,10,59,7.2,67,4.4
6,Electric India,15,38,5.2,88.9,4.4
7,AB:12,80,35,11.2,84,5.3
8,Fake Lager,12,40,4.7,78,4.4
9,AB:07,84,30,12.5,83,5.6
10,Bramling X,22,75,7.5,80.9,4.4
11,Misspent Youth,120,30,7.3,74.7,4.4
12,Arcade Nation,200,60,5.3,77,4.2
13,Movember,140,50,4.5,74.5,5.2
14,Alpha Dog,62,42,4.5,72.8,4.4
15,Mixtape 8,40,50,14.5,85,4.4
16,Libertine Porter,219,45,6.1,70.1,4.4
17,AB:06,70,150,11.2,87,null
18,Russian Doll – India Pale Ale,25,70,6.0,79.3,5.2
19,Hello My Name Is Mette-Marit,Null,70,8.2,83,4.4
20,Rabiator,24,26,10.27,85,4.4
21,Vice Bier,30,25,4.3,81.8,4
22,Devine Rebel (w/ Mikkeller),36,100,12.5,68,4.4
23,Storm,12,60,8.0,86,4.4
24,The End Of History,Null,null,55.0,100,4.4
25,Bad Pixie,8,45,4.7,79,4.4
26,Skull Candy,50,33,3.5,68.4,4.4
27,Dog B,100,90,15.0,98,4.4
28,HBC 369,19,67,6.7,79.7,4.4
29,10 Heads High,90,70,7.8,79.7,4.4
30,Dana - IPA Is Dead,30,70,6.7,77.3,4.4
31,Nanny State,30,55,0.5,28.6,4.4
32,AB:05,180,40,12.5,76,4.4
33,Sorachi Ace,30,75,7.5,82.1,4.4
34,Bourbon Baby,44,35,5.8,90,4.4
35,Berliner Weisse With Raspberries And Rhubarb - B-Sides,Null,8,3.6,83,3.2
36,Shipwrecker Circus (w/ Oskar Blues),64,85,10.5,102,4.4
37,Zephyr,40,125,12.5,81.2,4.4
38,Belgian Trappist,30,55,6.3,80,4.4
39,Kohatu - IPA Is Dead,30,70,7.2,82.1,4.4
40,Hello My Name is Vladimir,16,70,8.2,83,4.4
41,AB:17,300,100,10.7,76.2,4.3
42,Hardcore IPA,40,125,9.2,81.2,4.4
43,American Wheat,10,17,4.5,72,5.3
44,Dog Wired (w/8 Wired),13,65,7.1,85,4.4
45,The Physics,65,47,5.0,79.4,4.4
46,Anarchist Alchemist,20,20.5,16.5,100,4.4
47,AB:15,111,50,12.8,79.17,4.4
48,Goldings - IPA Is Dead,30,70,6.7,77.3,4.4
49,AB:14,20,30,10.0,83,4.4
50,Lost Dog (w/Lost Abbey),80,35,10.0,85,4.4
51,TM10,14,20,5.5,89.6,4.2
52,Paradox Islay,300,55,10.0,84.4,4.4
53,Baby Dogma,40,35,4.5,72.9,4.4
54,Albino Squid Assasin,60,65,7.4,82.6,4.2
55,Amarillo - IPA Is Dead,30,70,7.2,82.1,4.4
56,Black Eyed King Imp,250,85,9.5,76.8,4.4
57,Prototype 27,19.5,149,9.2,83,4.4
58,Coffee Imperial Stout,97,65,9.0,76,4.4
59,Mandarina Bavaria - IPA Is Dead,12,100,7.2,84,4.4
60,Dogma,46,30,7.5,70,4.5
61,Magic Stone Dog (w/Magic Rock & Stone Brewing Co.),15,30,4.6,81.4,4.4
62,AB:08,23,65,10.43,83.2,4.4
63,Sunk Punk,14,68,7.1,82.1,4.4
64,Sub Hop,15,35,8.0,79.2,4.4
65,Bracken's Porter,110,50,5.0,79,4.4
66,Tokyo Rising Sun - Lowland,140,85,13.2,82.17,4.4
67,Hunter Foundation Pale Ale,11.5,35,5.4,84,4.4
68,Hype,17,65,4.1,76.2,4.4
69,AB:16,30,55,10.6,86.7,4.4
70,Sunmaid Stout,197,50,10.2,74.5,4.4
71,Pale - Russian Doll,45,35,4.0,75.6,5.2
72,Whisky Sour - B-Sides,12,20,7.0,74,3.2
73,Black Eyed King Imp - Vietnamese Coffee Edition,250,85,12.7,76.8,5.2
74,Eurotrash,17,52,4.1,76,5.2
75,Never Mind The Anabolics,23,35,6.5,76,4.4
76,#Mashtag 2013,40,50,7.5,81.4,4.4
77,Hobo Pop,30,50,4.2,76.2,4.4
78,AB:18,115,80,11.8,79.2,5.2
79,Hops Kill Nazis,59,70,7.6,79.5,4.4
80,AB:04,400,80,15.0,84.1,4
81,India Session Lager - Prototype Challenge,12,35,4.4,79.5,4.4
82,Hopped-Up Brown Ale - Prototype Challenge,24,85,6.3,82.6,4.2
83,Comet,30,70,7.2,82.1,4.4
84,Baby Saison - B-Sides,2,9,3.6,88,4.4
85,Santa Paws,44,35,4.5,72.9,4.4
86,Original Dogma (Née Speedball),31,60,7.8,83.2,4.3
87,Alpha Pop,25,30,4.5,75.6,4.4
88,Bavarian Weizen,30,55,6.3,80,4.4
89,Citra,30,70,7.5,82.1,4.4
90,#Mashtag 2015,130,85,10.0,79.6,4.4
91,Dead Pony Club,25,35,3.8,70,4.4
92,AB:09,265,77,11.6,80,5.2
93,Mango Gose - B-Sides,10,40,6.4,87,3.5
94,Everday Anarchy,15,45,10.5,93.8,4.4
95,Peroxide Punk,18,40,4.0,76.9,4.4
96,Lumberjack Stout,158,20,15.2,82,4.4
97,Bowman's Beard - B-Sides,15,50,18.3,84,5.3
